object_image,wl
./Example_data/image/Simulation/road 0 with WD_0.0m.jpg,0.0
./Example_data/image/Simulation/road 0 with WD_0.1m.jpg,0.09350798975520039
./Example_data/image/Simulation/road 0 with WD_0.3m.jpg,0.28369676022835527
./Example_data/image/Simulation/road 0 with WD_0.5m.jpg,0.4857054114354231
./Example_data/image/Simulation/road 0 with WD_0.7m.jpg,0.6672779565590212
./Example_data/image/Simulation/road 0 with WD_0.9m.jpg,0.8642902777981785
./Example_data/image/Simulation/road 0 with WD_1.1m.jpg,1.0521109765418604
