object_image,wl
./Example_data/image/CCTV1/2022.8.25/2022-08-25 08-05-55.jpg,0.329997297719572
./Example_data/image/CCTV1/2022.8.25/2022-08-25 08-10-56.jpg,0.25451749504871013
./Example_data/image/CCTV1/2022.8.25/2022-08-25 08-13-27.jpg,0.13098984225708332
./Example_data/image/CCTV1/2022.8.25/2022-08-25 08-15-53.jpg,0.1032551823773692
./Example_data/image/CCTV1/2022.8.25/2022-08-25 08-18-15.jpg,0.1545057861695415
./Example_data/image/CCTV1/2022.8.25/2022-08-25 08-20-51.jpg,0.13432569276574888
./Example_data/image/CCTV1/2022.8.25/2022-08-25 08-23-20.jpg,0.1619819300758661
./Example_data/image/CCTV1/2022.8.25/2022-08-25 08-25-39.jpg,0.095102065336062
./Example_data/image/CCTV1/2022.8.25/2022-08-25 08-27-56.jpg,0.22126736784436712
./Example_data/image/CCTV1/2022.8.25/2022-08-25 08-30-22.jpg,0.13689664539231997
./Example_data/image/CCTV1/2022.8.25/2022-08-25 08-33-33.jpg,0.1560720102750594
./Example_data/image/CCTV1/2022.8.25/2022-08-25 08-36-20.jpg,0.1310468416717565
./Example_data/image/CCTV1/2022.8.25/2022-08-25 08-39-23.jpg,0.2026994436269319
./Example_data/image/CCTV1/2022.8.25/2022-08-25 08-42-15.jpg,0.24790235509825942
./Example_data/image/CCTV1/2022.8.25/2022-08-25 08-44-37.jpg,0.154179607053959
./Example_data/image/CCTV1/2022.8.25/2022-08-25 08-47-08.jpg,0.1385810048639284
./Example_data/image/CCTV1/2022.8.25/2022-08-25 08-49-33.jpg,0.11451043682401255
./Example_data/image/CCTV1/2022.8.25/2022-08-25 08-51-50.jpg,0.12197544657744505
./Example_data/image/CCTV1/2022.8.25/2022-08-25 08-54-12.jpg,0.13772951859145888
./Example_data/image/CCTV1/2022.8.25/2022-08-25 08-56-40.jpg,0.12682297132057146
./Example_data/image/CCTV1/2022.8.25/2022-08-25 08-58-58.jpg,0.04850904956700384
./Example_data/image/CCTV1/2022.8.25/2022-08-25 09-01-23.jpg,0.09403671267517746
./Example_data/image/CCTV1/2022.8.25/2022-08-25 09-03-57.jpg,0.02508197103667015
./Example_data/image/CCTV1/2022.8.25/2022-08-25 09-06-14.jpg,0.00770491537567678
./Example_data/image/CCTV1/2022.8.25/2022-08-25 09-08-33.jpg,0.016216073340772866
./Example_data/image/CCTV1/2022.8.25/2022-08-25 09-10-52.jpg,0.027480902111073756
./Example_data/image/CCTV1/2022.8.25/2022-08-25 09-13-16.jpg,0.021084208454485186
./Example_data/image/CCTV1/2022.8.25/2022-08-25 09-15-38.jpg,0.02161018065493234
